n_estimators,max_depth,min_samples_split,aupr_0,aupr_1,aupr_2,mean,std
200,8,2,0.6918368051114862,0.6813852687009485,0.6236536888196995,0.6656252542107114,0.029983527470531637
200,8,5,0.6919671306426991,0.6759621746499551,0.6314852039643578,0.6664715030856706,0.02558737317163684
200,8,10,0.6828194119224502,0.678959197129005,0.6309925343131676,0.6642570477882076,0.023574296838028513
200,8,20,0.6861645406612759,0.678671603136121,0.6248177012587836,0.66321794835206,0.027324839259148935
200,12,2,0.6966338596992535,0.6856785394078623,0.6452774617336263,0.675863286946914,0.022085052088914228
200,12,5,0.691432564496791,0.680320201886584,0.6428998326968165,0.6715508663600639,0.02076106047668056
200,12,10,0.695025880187312,0.6746657899836926,0.636106205916424,0.6685992920291429,0.024433362466394246
200,12,20,0.693880738787968,0.681442523001995,0.6385724661340071,0.6712985759746566,0.023691433078383756
200,16,2,0.6963221127456827,0.6825299533909313,0.6438043042421838,0.674218790126266,0.022231158743401657
200,16,5,0.6936465210103079,0.6838025298505734,0.6356916026600635,0.6710468845069816,0.025320913705795246
200,16,10,0.6994017736014376,0.6857373275074824,0.6459721043603533,0.6770370684897578,0.02266352824892218
200,16,20,0.6963274921287894,0.6818470369535689,0.6382999943935579,0.6721581744919721,0.024660402337930064
200,20,2,0.6934184572640002,0.6846442991851305,0.6473163948668511,0.675126383771994,0.019988214438786567
200,20,5,0.6891227012693946,0.6832263010556948,0.6420266333227282,0.6714585452159391,0.020950257948091067
200,20,10,0.6966179327749108,0.6805761686369307,0.6472208679619795,0.6748049897912737,0.020575023401925168
200,20,20,0.696266891732147,0.6805413147772532,0.6380700684223779,0.6716260916439261,0.02458086604759725
200,24,2,0.6926073426534569,0.6823994623896078,0.6435716654418078,0.672859490161624,0.02112475187206209
200,24,5,0.6887127211768561,0.6821102292491683,0.6423265260365492,0.6710498254875246,0.020488519930709114
200,24,10,0.6975503628255195,0.6808388665962779,0.6475265845552804,0.6753052713256927,0.020793590447883908
200,24,20,0.6970208061429886,0.6824962590504015,0.6387364451831214,0.6727511701255038,0.024772185366396218
400,8,2,0.6922791841206699,0.6815816883854962,0.6272878856742959,0.6670495860601541,0.028452928577237576
400,8,5,0.6905735308583116,0.6804304885314418,0.6335744436353754,0.6681928210083763,0.02482665725741577
400,8,10,0.685941158987165,0.6820249649141985,0.6320969528176872,0.6666876922396835,0.02451154264592671
400,8,20,0.6891616607274528,0.6812634290927349,0.6268898082778367,0.6657716326993415,0.02768203651585214
400,12,2,0.6917741221955833,0.6866477874128343,0.6423189047003781,0.6735802714362652,0.022203972838554936
400,12,5,0.6930845074012437,0.6876719125218221,0.6447915312642698,0.6751826503957785,0.021603072889157124
400,12,10,0.6947576760943759,0.6823419628658668,0.6371380075105136,0.6714125488235855,0.024760124130131
400,12,20,0.6952368316959074,0.6828957842814117,0.6404383349143243,0.6728569836305479,0.02347057663346646
400,16,2,0.7004543306675216,0.6869881319776756,0.6425047616511792,0.6766490747654589,0.024761666816850558
400,16,5,0.6960985712745065,0.68580018725931,0.6376873979449159,0.6731953854929108,0.02545750790516796
400,16,10,0.6963933708659226,0.6881485874310154,0.6434089380912519,0.6759836321293965,0.023278418219904694
400,16,20,0.6974312297311918,0.6823686111869575,0.6401320423504101,0.6733106277561864,0.02425330927933442
400,20,2,0.6963417865863825,0.6884107005317965,0.6458963107633493,0.676882932627176,0.022148793532231856
400,20,5,0.6920212579859191,0.6838769943612806,0.6410139103440652,0.6723040542304216,0.02237389976168018
400,20,10,0.6939688471509317,0.6811756030868835,0.6457582366418234,0.6736342289598795,0.020391501239614807
400,20,20,0.6969829785398056,0.6823516957167969,0.6403827529224172,0.6732391423930065,0.023988543877498547
400,24,2,0.695460718818074,0.6857748025807097,0.6448941535868982,0.6753765583285606,0.021914028877490083
400,24,5,0.6908098576188936,0.6828218085476482,0.6406823541204142,0.6714380067623186,0.02199067770766012
400,24,10,0.6953273490613444,0.6795844958414291,0.6458058723646515,0.6735725724224749,0.020659163922285624
400,24,20,0.6973756779201814,0.682866063554489,0.6402942522838854,0.6735119979195185,0.024223902742202093
600,8,2,0.6927995230215352,0.6825166458611488,0.627666414950567,0.6676608612777503,0.028590222028254845
600,8,5,0.6904677821061923,0.67908832683301,0.6317856189264842,0.6671139092885622,0.025409172563060203
600,8,10,0.6871661855616383,0.6847429078164049,0.6320277159199845,0.6679789364326759,0.0254405943460677
600,8,20,0.6881294502874997,0.6799318976552817,0.6276551955176726,0.6652388478201513,0.026785545325600638
600,12,2,0.6940163262542278,0.6888540260393838,0.6424094503286153,0.6750932675407423,0.02320684190124172
600,12,5,0.6939770065292923,0.6869586339709792,0.6439422448690921,0.6749592951231213,0.02211873177780234
600,12,10,0.6941320055417582,0.6836092351715679,0.6390763963268953,0.6722725456800737,0.02386308757579148
600,12,20,0.6948896013275135,0.6843102528266183,0.6405978973233535,0.6732659171591617,0.02350007508740375
600,16,2,0.7002412374915236,0.6868164908433942,0.6432003434912963,0.6767526906087381,0.024349893270930924
600,16,5,0.6962085642218417,0.6861857545949119,0.6413383273037323,0.6745775487068286,0.02385719399283248
600,16,10,0.6970125510158913,0.6900602763392448,0.6442728127563626,0.6771152133704996,0.0233958826772217
600,16,20,0.6951565837422211,0.6832578725506616,0.6425521688903311,0.673655541727738,0.022523464555911317
600,20,2,0.6985496662541457,0.6865617156428342,0.6437619629541341,0.6762911149503714,0.023516477020173735
600,20,5,0.6942476983643996,0.6835946454137786,0.642686518898883,0.6735096208923537,0.022224904899190746
600,20,10,0.695767988174407,0.684687516493983,0.6456620365098236,0.6753725137260712,0.021489975267211543
600,20,20,0.695620126015048,0.6827001128908986,0.6402912072970366,0.672870482067661,0.023633148234586853
600,24,2,0.6980613817676581,0.6852493186043077,0.6424283615696693,0.675246353980545,0.02378799010755417
600,24,5,0.6930516237252257,0.6833798942277516,0.6435863547496102,0.6733392909008624,0.021405816889861935
600,24,10,0.6959273720481555,0.6835981238582403,0.6452439136468292,0.6749231365177416,0.02158154756419012
600,24,20,0.6957959523832307,0.6829473044833025,0.6405014740904916,0.673081576985675,0.02362723381622192
1000,8,2,0.6911550349201163,0.6820037236668463,0.6294621805068854,0.6675403130312828,0.02718326392988557
1000,8,5,0.6906065496591142,0.6806470076296919,0.6315257128533356,0.6675930900473807,0.02582556733939054
1000,8,10,0.6874183436476478,0.6840296524687671,0.6318239844420471,0.6677573268528207,0.025446343936262935
1000,8,20,0.688315757426772,0.6798636042670396,0.6282917972555159,0.6654903863164425,0.02652873906227811
1000,12,2,0.6958421993046597,0.689191998897207,0.6421635719160447,0.6757325900393037,0.023891637653993714
1000,12,5,0.6950414489815752,0.6872315539778008,0.6429743674546151,0.6750824568046637,0.02292663176708871
1000,12,10,0.6941008604132003,0.684181922155648,0.6395617082458618,0.67261483027157,0.0237202865465274
1000,12,20,0.6960746514143374,0.6852584065577959,0.6391293267307905,0.6734874615676413,0.024692898578330576
1000,16,2,0.6984736304363598,0.6873925138941901,0.6448150254682866,0.6768937232662787,0.023129777708493292
1000,16,5,0.6963149966942475,0.6866729078951179,0.6417232255846009,0.6749037100579888,0.023790066295537773
1000,16,10,0.6973836681150609,0.6888862362679059,0.6446324265143062,0.6769674436324243,0.023125982300160518
1000,16,20,0.6947530496498445,0.6827595371870113,0.6411728095049893,0.6728951321139484,0.022959245038098704
1000,20,2,0.6994449433378164,0.6871517773346622,0.6450244835885589,0.6772070680870125,0.023303355142487596
1000,20,5,0.6947498802502526,0.6872887003011701,0.6424633792768707,0.6748339866094311,0.02309126048049723
1000,20,10,0.6974689108855812,0.6862337546818444,0.6441344388253979,0.6759457014642746,0.022956836407198054
1000,20,20,0.6960219704897309,0.683230254647148,0.6405285461480432,0.6732602570949741,0.023726647110852955
1000,24,2,0.6988173515839572,0.6860898966714177,0.6432716465050127,0.6760596315867958,0.023759713823053637
1000,24,5,0.6948786258429361,0.6866470259973407,0.642988480952974,0.674838044264417,0.022770387514660515
1000,24,10,0.6977459092321212,0.686244109075379,0.64343078186669,0.6758069333913967,0.02336998420159909
1000,24,20,0.6958681719103842,0.6841401479958639,0.6407917293895115,0.6736000164319198,0.023687892972679616
